1#1 $$1=1$$
883#5 $$883=5!\times\left(5+\frac{\textstyle5!}{\textstyle55-5}\right)-5$$
884#5 $$884=5!+5!+\frac{\textstyle5!+{5}^{5}}{\textstyle5}-5$$
885#5 $$885=5+5+5\times\left(5!+55\right)$$
886#5 $$886=\frac{\textstyle55}{\textstyle5}+5\times\left(5!+55\right)$$
887#5 $$887=\frac{\textstyle5!}{\textstyle5+5}+5\times\left(5!+55\right)$$
888#5 $$888=5!\times\left(5+\frac{\textstyle5!}{\textstyle55-5}\right)$$
889#5 $$889=5!+5!+\frac{\textstyle5!+{5}^{5}}{\textstyle5}$$
890#5 $$890=5!+5!+5\times\left(5+5!+5\right)$$
891#5 $$891=5!+5!+\frac{\textstyle\sqrt{\frac{\textstyle{\sqrt{\!\!\sqrt{\!\!\sqrt{5}}}}^{5!}}{\textstyle5}}-5}{\textstyle5!}$$
892#5 $$892=5+\frac{\textstyle5!}{\textstyle5+5}+5\times\left(5!+55\right)$$
893#5 $$893=5+5!\times\left(5+\frac{\textstyle5!}{\textstyle55-5}\right)$$
894#5 $$894={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5!-5-5$$
895#5 $$895=5\times\left(5+5!+55\right)-5$$
896#5 $$896=5!+\frac{\textstyle\sqrt{5}\times{\left(\sqrt{5}+\sqrt{5}\right)}^{5}-5!}{\textstyle5}$$
897#5 $$897=\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!-555}{\textstyle5}$$
898#5 $$898=\frac{\textstyle5!-5}{\textstyle5}+5\times\left(5!+55\right)$$
899#5 $$899={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5!-5$$
900#5 $$900=5\times\left(5+5!+55\right)$$
901#5 $$901=\frac{\textstyle5+{5}^{5}}{\textstyle5}+5\times55$$
902#5 $$902=\frac{\textstyle5+5+{5}^{5}}{\textstyle5}+5\times55$$
903#5 $$903={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-\frac{\textstyle5}{\textstyle5}-5!$$
904#5 $$904={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5!$$
905#5 $$905=5+5\times\left(5+5!+55\right)$$
906#5 $$906=5+\frac{\textstyle5+{5}^{5}}{\textstyle5}+5\times55$$
907#5 $$907=\frac{\textstyle\left(5!+5!\right)\times\left(\frac{\textstyle5!}{\textstyle5}-5\right)}{\textstyle5}-5$$
908#5 $$908=\frac{\textstyle{\left(5+5\right)}^{5}-5!}{\textstyle5!-5-5}$$
909#5 $$909=5+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5!$$
910#5 $$910=\left(5+5\right)\times\left(5!-\frac{\textstyle5!}{\textstyle5}-5\right)$$
911#5 $$911=\frac{\textstyle\left(5!+5!\right)\times\left(\frac{\textstyle5!}{\textstyle5}-5\right)-5}{\textstyle5}$$
912#5 $$912=\frac{\textstyle\left(5!+5!\right)\times\left(\frac{\textstyle5!}{\textstyle5}-5\right)}{\textstyle5}$$
913#5 $$913=5!\times5+\frac{\textstyle5+{5}^{5}}{\textstyle5+5}$$
914#5 $$914=5+5+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5!$$
915#5 $$915=5!+5!+5!+555$$
916#5 $$916=5!+\frac{\textstyle\sqrt{5}+{\left(\sqrt{5}+\sqrt{5}\right)}^{5}}{\textstyle\sqrt{5}}-5$$
917#5 $$917=5+\frac{\textstyle\left(5!+5!\right)\times\left(\frac{\textstyle5!}{\textstyle5}-5\right)}{\textstyle5}$$
918#5 $$918=5!+\frac{\textstyle{\left(\sqrt{5}+\sqrt{5}\right)}^{5}-\sqrt{5}-\sqrt{5}}{\textstyle\sqrt{5}}$$
919#5 $$919=5!+\frac{\textstyle{\left(\sqrt{5}+\sqrt{5}\right)}^{5}-\sqrt{5}}{\textstyle\sqrt{5}}$$
920#5 $$920=5!+\frac{\textstyle{\left(\sqrt{5}+\sqrt{5}\right)}^{5}}{\textstyle\sqrt{5}}$$
921#5 $$921=5!+\frac{\textstyle\sqrt{5}+{\left(\sqrt{5}+\sqrt{5}\right)}^{5}}{\textstyle\sqrt{5}}$$
922#5 $$922=5!+\frac{\textstyle\sqrt{5}+\sqrt{5}+{\left(\sqrt{5}+\sqrt{5}\right)}^{5}}{\textstyle\sqrt{5}}$$
923#5 $$923=\frac{\textstyle5!+5!}{\textstyle5}+5\times\left(5!+55\right)$$
924#5 $$924=\frac{\textstyle5!+{5}^{5}}{\textstyle5}+5\times55$$
925#5 $$925=5\times\left(5!+5!-55\right)$$
926#5 $$926=\frac{\textstyle5}{\textstyle5}+5\times\left(5!+5!-55\right)$$
927#5 $$927=\frac{\textstyle5+5}{\textstyle5}+5\times\left(5!+5!-55\right)$$
928#5 $$928=\frac{\textstyle5+\frac{\textstyle5!}{\textstyle5}}{\textstyle{\left(\frac{\textstyle5}{\textstyle5+5}\right)}^{5}}$$
929#5 $$929=5\times5+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5!$$
930#5 $$930=55+5\times\left(5!+55\right)$$
931#5 $$931=\left(\frac{\textstyle5!}{\textstyle5}-5\right)\times\left(\frac{\textstyle5!}{\textstyle5}+5\times5\right)$$
932#5 $$932=\frac{\textstyle5+\left(5+5!+5!\right)\times\left(\frac{\textstyle5!}{\textstyle5}-5\right)}{\textstyle5}$$
933#5 $$933=5+\frac{\textstyle5+\frac{\textstyle5!}{\textstyle5}}{\textstyle{\left(\frac{\textstyle5}{\textstyle5+5}\right)}^{5}}$$
934#5 $$934=\left(5+\frac{\textstyle5!}{\textstyle5+5}\right)\times55-\frac{\textstyle5}{\textstyle5}$$
935#5 $$935=\left(5+\frac{\textstyle5!}{\textstyle5+5}\right)\times55$$
936#5 $$936=5!\times\left(5+5-\frac{\textstyle55}{\textstyle5\times5}\right)$$
937#5 $$937=\frac{\textstyle{5}^{5}}{\textstyle5}+\frac{\textstyle{5}^{5}-5}{\textstyle5+5}$$
938#5 $$938=\frac{\textstyle{5}^{5}}{\textstyle5}+\frac{\textstyle5+{5}^{5}}{\textstyle5+5}$$
939#5 $$939=\left(5+5\right)\times\left(5!-5\times5\right)-\frac{\textstyle55}{\textstyle5}$$
940#5 $$940=\left(5!+5!-5\right)\times\left(5-\frac{\textstyle5}{\textstyle5}\right)$$
941#5 $$941=5+5!\times\left(5+5-\frac{\textstyle55}{\textstyle5\times5}\right)$$
942#5 $$942=\frac{\textstyle5!\times5!-5!}{\textstyle5+5+5}-5-5$$
943#5 $$943=\left(5!-5\right)\times\left(5+\frac{\textstyle5+\frac{\textstyle55}{\textstyle5}}{\textstyle5}\right)$$
944#5 $$944=\frac{\textstyle5!\times5!-5!-5!}{\textstyle5+5+5}$$
945#5 $$945=5!+\left(5+5+5\right)\times55$$
946#5 $$946=55\times\left(\frac{\textstyle555}{\textstyle5\times5}-5\right)$$
947#5 $$947=\frac{\textstyle5!\times5!-5!}{\textstyle5+5+5}-5$$
948#5 $$948=5!\times\frac{\textstyle\frac{\textstyle5!}{\textstyle5}+55}{\textstyle5+5}$$
949#5 $$949=\left(5+5\right)\times\left(5!-5\times5\right)-\frac{\textstyle5}{\textstyle5}$$
950#5 $$950=\left(5+5\right)\times\left(5!-5\times5\right)$$
951#5 $$951=\frac{\textstyle5}{\textstyle5}+\left(5+5\right)\times\left(5!-5\times5\right)$$
952#5 $$952=\frac{\textstyle5!\times5!-5!}{\textstyle5+5+5}$$
953#5 $$953=\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}-55$$
954#5 $$954=\frac{\textstyle\sqrt{{\sqrt{\!\!\sqrt{\sqrt{5!}+\sqrt{5!}}}}^{\frac{5!}{5}}}-\sqrt{5!}}{\textstyle\sqrt{5!}}-5$$
955#5 $$955=5+\left(5+5\right)\times\left(5!-5\times5\right)$$
956#5 $$956=\left(5-\frac{\textstyle5}{\textstyle5}\right)\times\left(5!+5!-\frac{\textstyle5}{\textstyle5}\right)$$
957#5 $$957=5+\frac{\textstyle5!\times5!-5!}{\textstyle5+5+5}$$
958#5 $$958=\left(5+5\right)\times\left(5!-\frac{\textstyle5!+\frac{\textstyle5}{\textstyle5}}{\textstyle5}\right)$$
959#5 $$959=\frac{\textstyle\sqrt{{\sqrt{\!\!\sqrt{\sqrt{5!}+\sqrt{5!}}}}^{\frac{5!}{5}}}-\sqrt{5!}}{\textstyle\sqrt{5!}}$$
960#5 $$960=\frac{\textstyle5!\times5!}{\textstyle5+5+5}$$
961#5 $$961=\frac{\textstyle\sqrt{5!}+\sqrt{{\sqrt{\!\!\sqrt{\sqrt{5!}+\sqrt{5!}}}}^{\frac{5!}{5}}}}{\textstyle\sqrt{5!}}$$
962#5 $$962=\left(5+5\right)\times\left(5!-\frac{\textstyle5!-\frac{\textstyle5}{\textstyle5}}{\textstyle5}\right)$$
963#5 $$963=\frac{\textstyle5!+5!\times5!}{\textstyle5+5+5}-5$$
964#5 $$964={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-55-5$$
965#5 $$965=5+\frac{\textstyle5!\times5!}{\textstyle5+5+5}$$
966#5 $$966=5+\frac{\textstyle\sqrt{5!}+\sqrt{{\sqrt{\!\!\sqrt{\sqrt{5!}+\sqrt{5!}}}}^{\frac{5!}{5}}}}{\textstyle\sqrt{5!}}$$
967#5 $$967=\frac{\textstyle5555-5!}{\textstyle5}-5!$$
968#5 $$968=\frac{\textstyle5!+5!\times5!}{\textstyle5+5+5}$$
969#5 $$969={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-55$$
970#5 $$970=5!+5\times\left(5!+55-5\right)$$
971#5 $$971={\sqrt{\frac{\textstyle5+5}{\textstyle5}}}^{\frac{5!}{5}}-{5}^{5}$$
972#5 $$972=5!+\sqrt{5!+\frac{\textstyle5!+\left(5+5\right)!}{\textstyle5}}$$
973#5 $$973=5+\frac{\textstyle5!+5!\times5!}{\textstyle5+5+5}$$
974#5 $$974=5+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-55$$
975#5 $$975=\left(5+5+5\right)\times\left(5!-55\right)$$
976#5 $$976=\sqrt{{\sqrt{\!\!\sqrt{5+5}}}^{\frac{5!}{5}}}-\frac{\textstyle5!}{\textstyle5}$$
977#5 $$977=\sqrt{{\sqrt{\!\!\sqrt{5+5}}}^{\frac{5!}{5}}}-\frac{\textstyle5!-5}{\textstyle5}$$
978#5 $$978=\left(5+5\right)\times\left(5!-\frac{\textstyle555}{\textstyle5\times5}\right)$$
979#5 $$979=\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!-5!}{\textstyle5}-5$$
980#5 $$980=\left(5\times5-5\right)\times55-5!$$
981#5 $$981=5+\sqrt{{\sqrt{\!\!\sqrt{5+5}}}^{\frac{5!}{5}}}-\frac{\textstyle5!}{\textstyle5}$$
982#5 $$982=\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!-5}{\textstyle5}-5\times5$$
983#5 $$983=\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}-5\times5$$
984#5 $$984=\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!-5!}{\textstyle5}$$
985#5 $$985=5!+5!+5!+\frac{\textstyle{5}^{5}}{\textstyle5}$$
986#5 $$986=\frac{\textstyle5555}{\textstyle5}-5!-5$$
987#5 $$987=\frac{\textstyle5+5555}{\textstyle5}-5!-5$$
988#5 $$988=\sqrt{{\sqrt{\!\!\sqrt{5+5}}}^{\frac{5!}{5}}}-\frac{\textstyle5!}{\textstyle5+5}$$
989#5 $$989=5+\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!-5!}{\textstyle5}$$
990#5 $$990=\left(\frac{\textstyle5!-5}{\textstyle5}-5\right)\times55$$
991#5 $$991=\frac{\textstyle5555}{\textstyle5}-5!$$
992#5 $$992=\frac{\textstyle5+5555}{\textstyle5}-5!$$
993#5 $$993=\frac{\textstyle5+5+5555}{\textstyle5}-5!$$
994#5 $$994={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5\times5-5$$
995#5 $$995=5!+5\times\left(5!+55\right)$$
996#5 $$996=5+\frac{\textstyle5555}{\textstyle5}-5!$$
997#5 $$997=\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!-55}{\textstyle5}$$
998#5 $$998=\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}-5-5$$
999#5 $$999={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5\times5$$
1000#5 $$1000=\sqrt{{\sqrt{\!\!\sqrt{5+5}}}^{\frac{5!}{5}}}$$
1001#5 $$1001=\frac{\textstyle5}{\textstyle5}+\sqrt{{\sqrt{\!\!\sqrt{5+5}}}^{\frac{5!}{5}}}$$
1002#5 $$1002=\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!-5}{\textstyle5}-5$$
1003#5 $$1003=\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}-5$$
1004#5 $$1004=5+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5\times5$$
1005#5 $$1005=5+\sqrt{{\sqrt{\!\!\sqrt{5+5}}}^{\frac{5!}{5}}}$$
1006#5 $$1006=\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!-5-5}{\textstyle5}$$
1007#5 $$1007=\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!-5}{\textstyle5}$$
1008#5 $$1008=\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}$$
1009#5 $$1009=\frac{\textstyle5+\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}$$
1010#5 $$1010=\left(5+5\right)\times\left(5+5!-\frac{\textstyle5!}{\textstyle5}\right)$$
1011#5 $$1011=\sqrt{{\sqrt{\!\!\sqrt{5+5}}}^{\frac{5!}{5}}}+\frac{\textstyle55}{\textstyle5}$$
1012#5 $$1012=5+\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!-5}{\textstyle5}$$
1013#5 $$1013=5+\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}$$
1014#5 $$1014={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5-5$$
1015#5 $$1015=\frac{\textstyle5!+5555}{\textstyle5}-5!$$
1016#5 $$1016=5\times5+\frac{\textstyle5555}{\textstyle5}-5!$$
1017#5 $$1017={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-\frac{\textstyle5+5}{\textstyle5}-5$$
1018#5 $$1018={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-\frac{\textstyle5}{\textstyle5}-5$$
1019#5 $$1019={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5$$
1020#5 $$1020=5!+5\times\left(5+5!+55\right)$$
1021#5 $$1021=\frac{\textstyle\left(5!-5\times5\right)\times55-5!}{\textstyle5}$$
1022#5 $$1022={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-\frac{\textstyle5+5}{\textstyle5}$$
1023#5 $$1023={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-\frac{\textstyle5}{\textstyle5}$$
1024#5 $$1024={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1025#5 $$1025=\frac{\textstyle5}{\textstyle5}+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1026#5 $$1026=\frac{\textstyle5+5}{\textstyle5}+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1027#5 $$1027=\frac{\textstyle5!+\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}-5$$
1028#5 $$1028=5+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-\frac{\textstyle5}{\textstyle5}$$
1029#5 $$1029=5+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1030#5 $$1030=\left(5!-5\right)\times\left(5+5\right)-5!$$
1031#5 $$1031=\frac{\textstyle5!+\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!-5}{\textstyle5}$$
1032#5 $$1032=\frac{\textstyle5!+\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}$$
1033#5 $$1033=5\times5+\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}$$
1034#5 $$1034=5+5+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1035#5 $$1035=5!\times5+555-5!$$
1036#5 $$1036=\frac{\textstyle5!}{\textstyle5+5}+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1037#5 $$1037=5+\frac{\textstyle5!+\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}$$
1038#5 $$1038=\frac{\textstyle5\times{5}^{5}-55}{\textstyle5+5+5}$$
1039#5 $$1039=5+5+5+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1040#5 $$1040=\left(\frac{\textstyle5!}{\textstyle5}-5\right)\times55-5$$
1041#5 $$1041=5!+5!+\frac{\textstyle\sqrt{5}+{\left(\sqrt{5}+\sqrt{5}\right)}^{5}}{\textstyle\sqrt{5}}$$
1042#5 $$1042=\frac{\textstyle5+5\times{5}^{5}}{\textstyle5+5+5}$$
1043#5 $$1043=\frac{\textstyle5!}{\textstyle5}+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5$$
1044#5 $$1044=5\times5+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5$$
1045#5 $$1045=\left(\frac{\textstyle5!}{\textstyle5}-5\right)\times55$$
1046#5 $$1046=\frac{\textstyle5+\left(5!-5\times5\right)\times55}{\textstyle5}$$
1047#5 $$1047=\frac{\textstyle5!-5}{\textstyle5}+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1048#5 $$1048=\frac{\textstyle5!}{\textstyle5}+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1049#5 $$1049=5\times5+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1050#5 $$1050=5+\left(\frac{\textstyle5!}{\textstyle5}-5\right)\times55$$
1051#5 $$1051=\frac{\textstyle\left(5!-\frac{\textstyle5!}{\textstyle5}\right)\times55}{\textstyle5}-5$$
1052#5 $$1052=5+\frac{\textstyle5!-5}{\textstyle5}+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1053#5 $$1053=5+\frac{\textstyle5!}{\textstyle5}+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1054#5 $$1054=5+5\times5+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1055#5 $$1055=5\times\left(5!+5!-5\right)-5!$$
1056#5 $$1056=\frac{\textstyle\left(5!-\frac{\textstyle5!}{\textstyle5}\right)\times55}{\textstyle5}$$
1057#5 $$1057=\frac{\textstyle5+\left(5!-\frac{\textstyle5!}{\textstyle5}\right)\times55}{\textstyle5}$$
1058#5 $$1058=\frac{\textstyle5555-5!-5!}{\textstyle5}-5$$
1059#5 $$1059=\frac{\textstyle{5}^{5}-5}{\textstyle5}+555-5!$$
1060#5 $$1060=5+5\times\left(5!+5!-5\right)-5!$$
1061#5 $$1061=5+\frac{\textstyle\left(5!-\frac{\textstyle5!}{\textstyle5}\right)\times55}{\textstyle5}$$
1062#5 $$1062=\frac{\textstyle5555-5!}{\textstyle5}-5\times5$$
1063#5 $$1063=\frac{\textstyle5555-5!-5!}{\textstyle5}$$
1064#5 $$1064=\left(\frac{\textstyle5!}{\textstyle5}-5\right)\times\left(\frac{\textstyle5}{\textstyle5}+55\right)$$
1065#5 $$1065=5!+5!+\left(5+5+5\right)\times55$$
1066#5 $$1066=\left(5!-\frac{\textstyle5}{\textstyle5}\right)\times\left(5+5-\frac{\textstyle5}{\textstyle5}\right)-5$$
1067#5 $$1067=\frac{\textstyle\left(5!-\frac{\textstyle5!-5}{\textstyle5}\right)\times55}{\textstyle5}$$
1068#5 $$1068=5!\times\left(5+5\right)-\frac{\textstyle5!}{\textstyle5+5}-5!$$
1069#5 $$1069=\frac{\textstyle5!+\left(5!-5\times5\right)\times55}{\textstyle5}$$
1070#5 $$1070=5!\times\left(5+5\right)-5!-5-5$$
1071#5 $$1071=\left(5!-\frac{\textstyle5}{\textstyle5}\right)\times\left(5+5-\frac{\textstyle5}{\textstyle5}\right)$$
1072#5 $$1072=\frac{\textstyle5!+5!}{\textstyle5}+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1073#5 $$1073=5\times5+\frac{\textstyle5!}{\textstyle5}+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1074#5 $$1074={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}+55-5$$
1075#5 $$1075=5!\times\left(5+5\right)-5!-5$$
1076#5 $$1076=\left(5\times5-5\right)\times55-\frac{\textstyle5!}{\textstyle5}$$
1077#5 $$1077=\frac{\textstyle5555-5!}{\textstyle5}-5-5$$
1078#5 $$1078=\left(5+5\right)\times\left(5!-\frac{\textstyle5}{\textstyle5\times5}\right)-5!$$
1079#5 $$1079={\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}+55$$
1080#5 $$1080=5!\times\left(5+5\right)-5!$$
1081#5 $$1081=\frac{\textstyle5}{\textstyle5}+5!\times\left(5+5\right)-5!$$
1082#5 $$1082=\frac{\textstyle5555-5!}{\textstyle5}-5$$
1083#5 $$1083=\frac{\textstyle5+5555-5!}{\textstyle5}-5$$
1084#5 $$1084=5+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}+55$$
1085#5 $$1085=5+5!\times\left(5+5\right)-5!$$
1086#5 $$1086=\frac{\textstyle5555}{\textstyle5}-5\times5$$
1087#5 $$1087=\frac{\textstyle5555-5!}{\textstyle5}$$
1088#5 $$1088=\frac{\textstyle5+5555-5!}{\textstyle5}$$
1089#5 $$1089=5!\times\left(5+5\right)-\frac{\textstyle555}{\textstyle5}$$
1090#5 $$1090=\left(5+5\right)\times\left(5!-\frac{\textstyle55}{\textstyle5}\right)$$
1091#5 $$1091=5!\times\left(5+5\right)+\frac{\textstyle55}{\textstyle5}-5!$$
1092#5 $$1092=5+\frac{\textstyle5555-5!}{\textstyle5}$$
1093#5 $$1093=5+\frac{\textstyle5+5555-5!}{\textstyle5}$$
1094#5 $$1094=\frac{\textstyle{\left(\sqrt{\!\!\sqrt{5}}+\sqrt{\!\!\sqrt{5}}+\sqrt{\!\!\sqrt{5}}\right)}^{5}-\sqrt{\!\!\sqrt{5}}}{\textstyle\sqrt{\!\!\sqrt{5}}}-5!$$
1095#5 $$1095=\left(5\times5-5\right)\times55-5$$
1096#5 $$1096=5!+\sqrt{{\sqrt{\!\!\sqrt{5+5}}}^{\frac{5!}{5}}}-\frac{\textstyle5!}{\textstyle5}$$
1097#5 $$1097=\frac{\textstyle5!\times\left(5!+5!\right)}{\textstyle5\times5}-55$$
1098#5 $$1098=\frac{\textstyle55+5555-5!}{\textstyle5}$$
1099#5 $$1099=\left(5\times5-5\right)\times55-\frac{\textstyle5}{\textstyle5}$$
1100#5 $$1100=\left(5\times5-5\right)\times55$$
1101#5 $$1101=\frac{\textstyle5555}{\textstyle5}-5-5$$
1102#5 $$1102=\left(5+5\right)\times\left(5!-\frac{\textstyle5!}{\textstyle5\times5}-5\right)$$
1103#5 $$1103=\frac{\textstyle\frac{\textstyle\left(5!+5!\right)\times\left(5!-5\right)}{\textstyle5}-5}{\textstyle5}$$
1104#5 $$1104=\frac{\textstyle\left(5!+5!\right)\times\left(5!-5\right)}{\textstyle5\times5}$$
1105#5 $$1105=5\times\left(5+5!+5!\right)-5!$$
1106#5 $$1106=\frac{\textstyle5555}{\textstyle5}-5$$
1107#5 $$1107=\frac{\textstyle5+5555}{\textstyle5}-5$$
1108#5 $$1108=\frac{\textstyle5+5+5555}{\textstyle5}-5$$
1109#5 $$1109=\frac{\textstyle5555-5-5}{\textstyle5}$$
1110#5 $$1110=555+555$$
1111#5 $$1111=\frac{\textstyle5555}{\textstyle5}$$
1112#5 $$1112=\frac{\textstyle5+5555}{\textstyle5}$$
1113#5 $$1113=\frac{\textstyle5+5+5555}{\textstyle5}$$
1114#5 $$1114=\frac{\textstyle5+5+5+5555}{\textstyle5}$$
1115#5 $$1115=5!+5!+5\times\left(5!+55\right)$$
1116#5 $$1116=5+\frac{\textstyle5555}{\textstyle5}$$
1117#5 $$1117=5+\frac{\textstyle5+5555}{\textstyle5}$$
1118#5 $$1118=5+\frac{\textstyle5+5+5555}{\textstyle5}$$
1119#5 $$1119=5!+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5\times5$$
1120#5 $$1120=5!+\sqrt{{\sqrt{\!\!\sqrt{5+5}}}^{\frac{5!}{5}}}$$
1121#5 $$1121=5+5+\frac{\textstyle5555}{\textstyle5}$$
1122#5 $$1122=\frac{\textstyle55+5555}{\textstyle5}$$
1123#5 $$1123=5!+\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}-5$$
1124#5 $$1124=\frac{\textstyle5!}{\textstyle5}+\left(5\times5-5\right)\times55$$
1125#5 $$1125=5\times5\times\left(55-5-5\right)$$
1126#5 $$1126=\left(5!-5\right)\times\left(5+5\right)-\frac{\textstyle5!}{\textstyle5}$$
1127#5 $$1127=\left(5!-5\right)\times\left(5+\frac{\textstyle5!}{\textstyle5\times5}\right)$$
1128#5 $$1128=5!+\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}$$
1129#5 $$1129=\frac{\textstyle{5}^{5}+{5}^{5}-5}{\textstyle5}-5!$$
1130#5 $$1130=\left(5!+5\right)\times\left(5+5\right)-5!$$
1131#5 $$1131=5!\times5+555-\frac{\textstyle5!}{\textstyle5}$$
1132#5 $$1132=5+\left(5!-5\right)\times\left(5+\frac{\textstyle5!}{\textstyle5\times5}\right)$$
1133#5 $$1133=5+5!+\frac{\textstyle\left(5+\frac{\textstyle5+5}{\textstyle5}\right)!}{\textstyle5}$$
1134#5 $$1134=\frac{\textstyle5!+5555-5}{\textstyle5}$$
1135#5 $$1135=\frac{\textstyle5!+5555}{\textstyle5}$$
1136#5 $$1136=5\times5+\frac{\textstyle5555}{\textstyle5}$$
1137#5 $$1137=5\times5+\frac{\textstyle5+5555}{\textstyle5}$$
1138#5 $$1138=\left(5!-5\right)\times\left(5+5\right)-\frac{\textstyle5!}{\textstyle5+5}$$
1139#5 $$1139=5!+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-5$$
1140#5 $$1140=5!\times\left(5+5\right)-55-5$$
1141#5 $$1141=\frac{\textstyle\frac{\textstyle5!\times\left(5!+5!\right)}{\textstyle5}-55}{\textstyle5}$$
1142#5 $$1142=\left(5+5\right)\times\left(5!-\frac{\textstyle5+\frac{\textstyle5!}{\textstyle5}}{\textstyle5}\right)$$
1143#5 $$1143=5!+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}-\frac{\textstyle5}{\textstyle5}$$
1144#5 $$1144=5!+{\left(5-\frac{\textstyle5}{\textstyle5}\right)}^{5}$$
1145#5 $$1145=5!\times\left(5+5\right)-55$$
1146#5 $$1146=\frac{\textstyle5}{\textstyle5}+5!\times\left(5+5\right)-55$$
1147#5 $$1147=\frac{\textstyle5!\times\left(5!+5!\right)}{\textstyle5\times5}-5$$
