1#1 1 $$1$$
1234#6 (6!*66-6!)/6/6-66 $$\frac{\textstyle6!\times66-6!}{\textstyle6\times6}-66$$
1235#6 6!+6!-(√6^6-66/6) $$6!+6!-{\sqrt{6}}^{6}+\frac{\textstyle66}{\textstyle6}$$
1236#6 6+6*√6^6-66 $$6+6\times{\sqrt{6}}^{6}-66$$
1237#6 6+(6!+6666)/6 $$6+\frac{\textstyle6!+6666}{\textstyle6}$$
1238#6 6+6!+√(6+(6+6)/6)^6 $$6+6!+{\sqrt{6+\frac{\textstyle6+6}{\textstyle6}}}^{6}$$
1239#6 (√6^6-6)*(6-6/(66-6)) $$\left({\sqrt{6}}^{6}-6\right)\times\left(6-\frac{\textstyle6}{\textstyle66-6}\right)$$
1240#6 6*((6^6-6!)/(√6^6)-6) $$6\times\left(\frac{\textstyle{6}^{6}-6!}{\textstyle{\sqrt{6}}^{6}}-6\right)$$
1241#6 6*√6^6-(66-66/6) $$6\times{\sqrt{6}}^{6}-66+\frac{\textstyle66}{\textstyle6}$$
1242#6 6+6+6*√6^6-66 $$6+6+6\times{\sqrt{6}}^{6}-66$$
1243#6 ((6!-6)/6-6)*66/6 $$\frac{\textstyle\left(\frac{\textstyle6!-6}{\textstyle6}-6\right)\times66}{\textstyle6}$$
1244#6 6*(6!/((6/(√6+√6))^6)-6) $$6\times\left(\frac{\textstyle6!}{\textstyle{\left(\frac{\textstyle6}{\textstyle\sqrt{6}+\sqrt{6}}\right)}^{6}}-6\right)$$
1245#6 ((6^6-6!-6!)/6-66)/6 $$\frac{\textstyle\frac{\textstyle{6}^{6}-6!-6!}{\textstyle6}-66}{\textstyle6}$$
1246#6 6+6*((6^6-6!)/(√6^6)-6) $$6+6\times\left(\frac{\textstyle{6}^{6}-6!}{\textstyle{\sqrt{6}}^{6}}-6\right)$$
1247#6 ((6^6-√(6+6)^6)/6-6)/6 $$\frac{\textstyle\frac{\textstyle{6}^{6}-{\sqrt{6+6}}^{6}}{\textstyle6}-6}{\textstyle6}$$
1248#6 6*(√6^6-6)-6-6 $$6\times\left({\sqrt{6}}^{6}-6\right)-6-6$$
1249#6 6*(√6^6-6)-66/6 $$6\times\left({\sqrt{6}}^{6}-6\right)-\frac{\textstyle66}{\textstyle6}$$
1250#6 (6!+6^6)/6/6-66 $$\frac{\textstyle6!+{6}^{6}}{\textstyle6\times6}-66$$
1251#6 (6!+6!/6+6666)/6 $$\frac{\textstyle6!+\frac{\textstyle6!}{\textstyle6}+6666}{\textstyle6}$$
1252#6 6*(√6^6-6)-(6+6)/6-6 $$6\times\left({\sqrt{6}}^{6}-6\right)-\frac{\textstyle6+6}{\textstyle6}-6$$
1253#6 6*(√6^6-6)-6/6-6 $$6\times\left({\sqrt{6}}^{6}-6\right)-\frac{\textstyle6}{\textstyle6}-6$$
1254#6 6*(√6^6-6)-6 $$6\times\left({\sqrt{6}}^{6}-6\right)-6$$
1255#6 6/6+6*(√6^6-6)-6 $$\frac{\textstyle6}{\textstyle6}+6\times\left({\sqrt{6}}^{6}-6\right)-6$$
1256#6 (6^6-6!-6!)/6/6 $$\frac{\textstyle{6}^{6}-6!-6!}{\textstyle6\times6}$$
1257#6 6*(√6^6-6/(6+6)-6) $$6\times\left({\sqrt{6}}^{6}-\frac{\textstyle6}{\textstyle6+6}-6\right)$$
1258#6 6*(√6^6-6)-(6+6)/6 $$6\times\left({\sqrt{6}}^{6}-6\right)-\frac{\textstyle6+6}{\textstyle6}$$
1259#6 6*(√6^6-6)-6/6 $$6\times\left({\sqrt{6}}^{6}-6\right)-\frac{\textstyle6}{\textstyle6}$$
1260#6 6*(√6^6-6) $$6\times\left({\sqrt{6}}^{6}-6\right)$$
1261#6 6/6+6*(√6^6-6) $$\frac{\textstyle6}{\textstyle6}+6\times\left({\sqrt{6}}^{6}-6\right)$$
1262#6 (6+6)/6+6*(√6^6-6) $$\frac{\textstyle6+6}{\textstyle6}+6\times\left({\sqrt{6}}^{6}-6\right)$$
1263#6 6*(√6^6-66/(6+6)) $$6\times\left({\sqrt{6}}^{6}-\frac{\textstyle66}{\textstyle6+6}\right)$$
1264#6 (6^6-6!)/6/6-6-6 $$\frac{\textstyle{6}^{6}-6!}{\textstyle6\times6}-6-6$$
1265#6 √(66/6)^6-66 $${\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}-66$$
1266#6 6+6*(√6^6-6) $$6+6\times\left({\sqrt{6}}^{6}-6\right)$$
1267#6 6+6/6+6*(√6^6-6) $$6+\frac{\textstyle6}{\textstyle6}+6\times\left({\sqrt{6}}^{6}-6\right)$$
1268#6 6+(6+6)/6+6*(√6^6-6) $$6+\frac{\textstyle6+6}{\textstyle6}+6\times\left({\sqrt{6}}^{6}-6\right)$$
1269#6 √6^6*(6-√(6/(6+6))^6) $${\sqrt{6}}^{6}\times\left(6-{\sqrt{\frac{\textstyle6}{\textstyle6+6}}}^{6}\right)$$
1270#6 (6^6-6!)/6/6-6 $$\frac{\textstyle{6}^{6}-6!}{\textstyle6\times6}-6$$
1271#6 6+√(66/6)^6-66 $$6+{\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}-66$$
1272#6 6+6+6*(√6^6-6) $$6+6+6\times\left({\sqrt{6}}^{6}-6\right)$$
1273#6 (6^6/6-66)/6-6-6 $$\frac{\textstyle\frac{\textstyle{6}^{6}}{\textstyle6}-66}{\textstyle6}-6-6$$
1274#6 ((6^6-6!)/6-6-6)/6 $$\frac{\textstyle\frac{\textstyle{6}^{6}-6!}{\textstyle6}-6-6}{\textstyle6}$$
1275#6 ((6^6-6!)/6-6)/6 $$\frac{\textstyle\frac{\textstyle{6}^{6}-6!}{\textstyle6}-6}{\textstyle6}$$
1276#6 (6^6-6!)/6/6 $$\frac{\textstyle{6}^{6}-6!}{\textstyle6\times6}$$
1277#6 (6+(6^6-6!)/6)/6 $$\frac{\textstyle6+\frac{\textstyle{6}^{6}-6!}{\textstyle6}}{\textstyle6}$$
1278#6 6*√6^6-6-6-6 $$6\times{\sqrt{6}}^{6}-6-6-6$$
1279#6 (6^6/6-66)/6-6 $$\frac{\textstyle\frac{\textstyle{6}^{6}}{\textstyle6}-66}{\textstyle6}-6$$
1280#6 6*6!/((6/(√6+√6))^6) $$\frac{\textstyle6\times6!}{\textstyle{\left(\frac{\textstyle6}{\textstyle\sqrt{6}+\sqrt{6}}\right)}^{6}}$$
1281#6 6+((6^6-6!)/6-6)/6 $$6+\frac{\textstyle\frac{\textstyle{6}^{6}-6!}{\textstyle6}-6}{\textstyle6}$$
1282#6 6+(6^6-6!)/6/6 $$6+\frac{\textstyle{6}^{6}-6!}{\textstyle6\times6}$$
1283#6 (6^6/6-6)/6-6-6 $$\frac{\textstyle\frac{\textstyle{6}^{6}}{\textstyle6}-6}{\textstyle6}-6-6$$
1284#6 6*√6^6-6-6 $$6\times{\sqrt{6}}^{6}-6-6$$
1285#6 (6^6/6-66)/6 $$\frac{\textstyle\frac{\textstyle{6}^{6}}{\textstyle6}-66}{\textstyle6}$$
1286#6 (6+6^6/6-66)/6 $$\frac{\textstyle6+\frac{\textstyle{6}^{6}}{\textstyle6}-66}{\textstyle6}$$
1287#6 6*(√6^6-6/(6+6))-6 $$6\times\left({\sqrt{6}}^{6}-\frac{\textstyle6}{\textstyle6+6}\right)-6$$
1288#6 (6^6/6-6-6)/6-6 $$\frac{\textstyle\frac{\textstyle{6}^{6}}{\textstyle6}-6-6}{\textstyle6}-6$$
1289#6 (6^6/6-6)/6-6 $$\frac{\textstyle\frac{\textstyle{6}^{6}}{\textstyle6}-6}{\textstyle6}-6$$
1290#6 6*√6^6-6 $$6\times{\sqrt{6}}^{6}-6$$
1291#6 (6+6^6/6)/6-6 $$\frac{\textstyle6+\frac{\textstyle{6}^{6}}{\textstyle6}}{\textstyle6}-6$$
1292#6 (6+6+6^6/6)/6-6 $$\frac{\textstyle6+6+\frac{\textstyle{6}^{6}}{\textstyle6}}{\textstyle6}-6$$
1293#6 6*(√6^6-6/(6+6)) $$6\times\left({\sqrt{6}}^{6}-\frac{\textstyle6}{\textstyle6+6}\right)$$
1294#6 (6^6/6-6-6)/6 $$\frac{\textstyle\frac{\textstyle{6}^{6}}{\textstyle6}-6-6}{\textstyle6}$$
1295#6 (6^6/6-6)/6 $$\frac{\textstyle\frac{\textstyle{6}^{6}}{\textstyle6}-6}{\textstyle6}$$
1296#6 6*√6^6 $$6\times{\sqrt{6}}^{6}$$
1297#6 (6+6^6/6)/6 $$\frac{\textstyle6+\frac{\textstyle{6}^{6}}{\textstyle6}}{\textstyle6}$$
1298#6 (6+6+6^6/6)/6 $$\frac{\textstyle6+6+\frac{\textstyle{6}^{6}}{\textstyle6}}{\textstyle6}$$
1299#6 6*(√6^6+6/(6+6)) $$6\times\left({\sqrt{6}}^{6}+\frac{\textstyle6}{\textstyle6+6}\right)$$
1300#6 (6!*66-6!)/6/6 $$\frac{\textstyle6!\times66-6!}{\textstyle6\times6}$$
1301#6 6+(6^6/6-6)/6 $$6+\frac{\textstyle\frac{\textstyle{6}^{6}}{\textstyle6}-6}{\textstyle6}$$
1302#6 6+6*√6^6 $$6+6\times{\sqrt{6}}^{6}$$
1303#6 6+(6+6^6/6)/6 $$6+\frac{\textstyle6+\frac{\textstyle{6}^{6}}{\textstyle6}}{\textstyle6}$$
1304#6 6+(6+6+6^6/6)/6 $$6+\frac{\textstyle6+6+\frac{\textstyle{6}^{6}}{\textstyle6}}{\textstyle6}$$
1305#6 6+6*(√6^6+6/(6+6)) $$6+6\times\left({\sqrt{6}}^{6}+\frac{\textstyle6}{\textstyle6+6}\right)$$
1306#6 (6^6/6+66-6)/6 $$\frac{\textstyle\frac{\textstyle{6}^{6}}{\textstyle6}+66-6}{\textstyle6}$$
1307#6 (6^6/6+66)/6 $$\frac{\textstyle\frac{\textstyle{6}^{6}}{\textstyle6}+66}{\textstyle6}$$
1308#6 6+6+6*√6^6 $$6+6+6\times{\sqrt{6}}^{6}$$
1309#6 (6!-6)*66/6/6 $$\frac{\textstyle\left(6!-6\right)\times66}{\textstyle6\times6}$$
1310#6 (6!+6^6)/6/6-6 $$\frac{\textstyle6!+{6}^{6}}{\textstyle6\times6}-6$$
1311#6 (√(66)^6/6-6!)/6/6 $$\frac{\textstyle\frac{\textstyle{\sqrt{66}}^{6}}{\textstyle6}-6!}{\textstyle6\times6}$$
1312#6 6*(6+(6^6-6!)/(√6^6)) $$6\times\left(6+\frac{\textstyle{6}^{6}-6!}{\textstyle{\sqrt{6}}^{6}}\right)$$
1313#6 6!+6!-(6!+6)/6-6 $$6!+6!-\frac{\textstyle6!+6}{\textstyle6}-6$$
1314#6 6!+6!-6!/6-6 $$6!+6!-\frac{\textstyle6!}{\textstyle6}-6$$
1315#6 ((6!+6^6)/6-6)/6 $$\frac{\textstyle\frac{\textstyle6!+{6}^{6}}{\textstyle6}-6}{\textstyle6}$$
1316#6 (6!+6^6)/6/6 $$\frac{\textstyle6!+{6}^{6}}{\textstyle6\times6}$$
1317#6 (6+(6!+6^6)/6)/6 $$\frac{\textstyle6+\frac{\textstyle6!+{6}^{6}}{\textstyle6}}{\textstyle6}$$
1318#6 6!+6!-(6+6!+6)/6 $$6!+6!-\frac{\textstyle6+6!+6}{\textstyle6}$$
1319#6 6!+6!-(6!+6)/6 $$6!+6!-\frac{\textstyle6!+6}{\textstyle6}$$
1320#6 6!+6!-6!/6 $$6!+6!-\frac{\textstyle6!}{\textstyle6}$$
1321#6 6!+6!-(6!-6)/6 $$6!+6!-\frac{\textstyle6!-6}{\textstyle6}$$
1322#6 6+(6!+6^6)/6/6 $$6+\frac{\textstyle6!+{6}^{6}}{\textstyle6\times6}$$
1323#6 √6^6*(6+√(6/(6+6))^6) $${\sqrt{6}}^{6}\times\left(6+{\sqrt{\frac{\textstyle6}{\textstyle6+6}}}^{6}\right)$$
1324#6 √(66/6)^6-6/6-6 $${\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}-\frac{\textstyle6}{\textstyle6}-6$$
1325#6 √(66/6)^6-6 $${\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}-6$$
1326#6 6*(6+√6^6)-6 $$6\times\left(6+{\sqrt{6}}^{6}\right)-6$$
1327#6 6+6!+6!-(6!-6)/6 $$6+6!+6!-\frac{\textstyle6!-6}{\textstyle6}$$
1328#6 ((6+6)/6)^(66/6)-6! $${\left(\frac{\textstyle6+6}{\textstyle6}\right)}^{\frac{66}{6}}-6!$$
1329#6 6!+6!-666/6 $$6!+6!-\frac{\textstyle666}{\textstyle6}$$
1330#6 √(66/6)^6-6/6 $${\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}-\frac{\textstyle6}{\textstyle6}$$
1331#6 √(66/6)^6 $${\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}$$
1332#6 6*(6+√6^6) $$6\times\left(6+{\sqrt{6}}^{6}\right)$$
1333#6 6/6+6*(6+√6^6) $$\frac{\textstyle6}{\textstyle6}+6\times\left(6+{\sqrt{6}}^{6}\right)$$
1334#6 (√(6!)/6)^6-6666 $${\left(\frac{\textstyle\sqrt{6!}}{\textstyle6}\right)}^{6}-6666$$
1335#6 6*(6+√6^6+6/(6+6)) $$6\times\left(6+{\sqrt{6}}^{6}+\frac{\textstyle6}{\textstyle6+6}\right)$$
1336#6 (6!+6!+6^6)/6/6 $$\frac{\textstyle6!+6!+{6}^{6}}{\textstyle6\times6}$$
1337#6 6+√(66/6)^6 $$6+{\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}$$
1338#6 6+6*(6+√6^6) $$6+6\times\left(6+{\sqrt{6}}^{6}\right)$$
1339#6 6+6/6+6*(6+√6^6) $$6+\frac{\textstyle6}{\textstyle6}+6\times\left(6+{\sqrt{6}}^{6}\right)$$
1340#6 (6!+6!*66)/6/6 $$\frac{\textstyle6!+6!\times66}{\textstyle6\times6}$$
1341#6 (6+(6!+6!*66)/6)/6 $$\frac{\textstyle6+\frac{\textstyle6!+6!\times66}{\textstyle6}}{\textstyle6}$$
1342#6 66/6+√(66/6)^6 $$\frac{\textstyle66}{\textstyle6}+{\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}$$
1343#6 6+6+√(66/6)^6 $$6+6+{\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}$$
1344#6 6+6+6*(6+√6^6) $$6+6+6\times\left(6+{\sqrt{6}}^{6}\right)$$
1345#6 6!+6!-(√6^6-(6!+6)/6) $$6!+6!-{\sqrt{6}}^{6}+\frac{\textstyle6!+6}{\textstyle6}$$
1346#6 6+(6!+6!*66)/6/6 $$6+\frac{\textstyle6!+6!\times66}{\textstyle6\times6}$$
1347#6 6+(6+(6!+6!*66)/6)/6 $$6+\frac{\textstyle6+\frac{\textstyle6!+6!\times66}{\textstyle6}}{\textstyle6}$$
1348#6 6+66/6+√(66/6)^6 $$6+\frac{\textstyle66}{\textstyle6}+{\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}$$
1349#6 6+6+6+√(66/6)^6 $$6+6+6+{\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}$$
1350#6 6!+666-6*6 $$6!+666-6\times6$$
1351#6 (6!+6!+6666)/6 $$\frac{\textstyle6!+6!+6666}{\textstyle6}$$
1352#6 6*(6+(6!+6^6)/(√6^6)) $$6\times\left(6+\frac{\textstyle6!+{6}^{6}}{\textstyle{\sqrt{6}}^{6}}\right)$$
1353#6 (6+6+6!+6)*66/6/6 $$\frac{\textstyle\left(6+6+6!+6\right)\times66}{\textstyle6\times6}$$
1354#6 6!+6!-(6!/6/6+66) $$6!+6!-\left(\frac{\textstyle6!}{\textstyle6\times6}+66\right)$$
1355#6 6!+6!-(6+6!-√6^6)/6 $$6!+6!-\frac{\textstyle6+6!-{\sqrt{6}}^{6}}{\textstyle6}$$
1356#6 6*√6^6+66-6 $$6\times{\sqrt{6}}^{6}+66-6$$
1357#6 6!+6!-(6!-√6^6-6)/6 $$6!+6!-\frac{\textstyle6!-{\sqrt{6}}^{6}-6}{\textstyle6}$$
1358#6 6!+(6^6-6!)/(6+66) $$6!+\frac{\textstyle{6}^{6}-6!}{\textstyle6+66}$$
1359#6 √6^6*(6+(√6^6-6)/(6!)) $${\sqrt{6}}^{6}\times\left(6+\frac{\textstyle{\sqrt{6}}^{6}-6}{\textstyle6!}\right)$$
1360#6 6*√6^6+((6+6)/6)^6 $$6\times{\sqrt{6}}^{6}+{\left(\frac{\textstyle6+6}{\textstyle6}\right)}^{6}$$
1361#6 6*6+√(66/6)^6-6 $$6\times6+{\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}-6$$
1362#6 6*√6^6+66 $$6\times{\sqrt{6}}^{6}+66$$
1363#6 6/6+6*√6^6+66 $$\frac{\textstyle6}{\textstyle6}+6\times{\sqrt{6}}^{6}+66$$
1364#6 (6+6)/6+6*√6^6+66 $$\frac{\textstyle6+6}{\textstyle6}+6\times{\sqrt{6}}^{6}+66$$
1365#6 (√6^6-6)*(6+6/(6+6)) $$\left({\sqrt{6}}^{6}-6\right)\times\left(6+\frac{\textstyle6}{\textstyle6+6}\right)$$
1366#6 6!+666-6!/6/6 $$6!+666-\frac{\textstyle6!}{\textstyle6\times6}$$
1367#6 6*6+√(66/6)^6 $$6\times6+{\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}$$
1368#6 6*(6+6+√6^6) $$6\times\left(6+6+{\sqrt{6}}^{6}\right)$$
1369#6 (√(66)^6-6)/(√6^6-6) $$\frac{\textstyle{\sqrt{66}}^{6}-6}{\textstyle{\sqrt{6}}^{6}-6}$$
1370#6 (6+6)*((6!+6/6)/6-6) $$\left(6+6\right)\times\left(\frac{\textstyle6!+\frac{\textstyle6}{\textstyle6}}{\textstyle6}-6\right)$$
1371#6 6*(√6^6-6)+666/6 $$6\times\left({\sqrt{6}}^{6}-6\right)+\frac{\textstyle666}{\textstyle6}$$
1372#6 6!+6!-((6+6)/6+66) $$6!+6!-\left(\frac{\textstyle6+6}{\textstyle6}+66\right)$$
1373#6 6!+6!-(6/6+66) $$6!+6!-\left(\frac{\textstyle6}{\textstyle6}+66\right)$$
1374#6 6!+6!-66 $$6!+6!-66$$
1375#6 6!+6!-(66-6/6) $$6!+6!-66+\frac{\textstyle6}{\textstyle6}$$
1376#6 6!+6!-((6+6)/6)^6 $$6!+6!-{\left(\frac{\textstyle6+6}{\textstyle6}\right)}^{6}$$
1377#6 6!+6!-(6!+6*6)/(6+6) $$6!+6!-\frac{\textstyle6!+6\times6}{\textstyle6+6}$$
1378#6 6!+(6!+6^6)/(6+66) $$6!+\frac{\textstyle6!+{6}^{6}}{\textstyle6+66}$$
1379#6 6!+666-6/6-6 $$6!+666-\frac{\textstyle6}{\textstyle6}-6$$
1380#6 6!+666-6 $$6!+666-6$$
1381#6 6!+6/6+666-6 $$6!+\frac{\textstyle6}{\textstyle6}+666-6$$
1382#6 (6!+6^6)/6/6+66 $$\frac{\textstyle6!+{6}^{6}}{\textstyle6\times6}+66$$
1383#6 6!+6!-(6!-6*6)/(6+6) $$6!+6!-\frac{\textstyle6!-6\times6}{\textstyle6+6}$$
1384#6 6!+666-(6+6)/6 $$6!+666-\frac{\textstyle6+6}{\textstyle6}$$
1385#6 6!+666-6/6 $$6!+666-\frac{\textstyle6}{\textstyle6}$$
1386#6 6!+666 $$6!+666$$
1387#6 6!+6/6+666 $$6!+\frac{\textstyle6}{\textstyle6}+666$$
1388#6 6!+(6+6)/6+666 $$6!+\frac{\textstyle6+6}{\textstyle6}+666$$
1389#6 6!+(6+6+6)/6+666 $$6!+\frac{\textstyle6+6+6}{\textstyle6}+666$$
1390#6 (6!+(6^6-6!)/6)/6-6 $$\frac{\textstyle6!+\frac{\textstyle{6}^{6}-6!}{\textstyle6}}{\textstyle6}-6$$
1391#6 66+√(66/6)^6-6 $$66+{\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}-6$$
1392#6 6+6!+666 $$6+6!+666$$
1393#6 6+6!+6/6+666 $$6+6!+\frac{\textstyle6}{\textstyle6}+666$$
1394#6 6!+6!-(66-6!/6/6) $$6!+6!-66+\frac{\textstyle6!}{\textstyle6\times6}$$
1395#6 (6!+(6^6-6!)/6-6)/6 $$\frac{\textstyle6!+\frac{\textstyle{6}^{6}-6!}{\textstyle6}-6}{\textstyle6}$$
1396#6 (6!+(6^6-6!)/6)/6 $$\frac{\textstyle6!+\frac{\textstyle{6}^{6}-6!}{\textstyle6}}{\textstyle6}$$
1397#6 66+√(66/6)^6 $$66+{\sqrt{\frac{\textstyle66}{\textstyle6}}}^{6}$$
1398#6 6!+6!-6*6-6 $$6!+6!-6\times6-6$$
1399#6 6!+6!-(√6^6-6)/6-6 $$6!+6!-\frac{\textstyle{\sqrt{6}}^{6}-6}{\textstyle6}-6$$
1400#6 6!+6!-6!/(6+6+6) $$6!+6!-\frac{\textstyle6!}{\textstyle6+6+6}$$
1401#6 6!+6!-6*(6+6/(6+6)) $$6!+6!-6\times\left(6+\frac{\textstyle6}{\textstyle6+6}\right)$$
1402#6 6+(6!+(6^6-6!)/6)/6 $$6+\frac{\textstyle6!+\frac{\textstyle{6}^{6}-6!}{\textstyle6}}{\textstyle6}$$
1403#6 6!+6!-(6+√6^6)/6 $$6!+6!-\frac{\textstyle6+{\sqrt{6}}^{6}}{\textstyle6}$$
1404#6 6!+6!-6*6 $$6!+6!-6\times6$$
1405#6 6!+6!-(√6^6-6)/6 $$6!+6!-\frac{\textstyle{\sqrt{6}}^{6}-6}{\textstyle6}$$
1406#6 6!+6!/6/6+666 $$6!+\frac{\textstyle6!}{\textstyle6\times6}+666$$
1407#6 (6^6/6+666)/6 $$\frac{\textstyle\frac{\textstyle{6}^{6}}{\textstyle6}+666}{\textstyle6}$$
1408#6 ((6!-6)*(6+6)-6!/6)/6 $$\frac{\textstyle\left(6!-6\right)\times\left(6+6\right)-\frac{\textstyle6!}{\textstyle6}}{\textstyle6}$$
1409#6 (6!+6^6/6-6)/6-6 $$\frac{\textstyle6!+\frac{\textstyle{6}^{6}}{\textstyle6}-6}{\textstyle6}-6$$
1410#6 6+6!+6!-6*6 $$6+6!+6!-6\times6$$
1411#6 6!+6!-√(6!+(6!+6)/6) $$6!+6!-\sqrt{6!+\frac{\textstyle6!+6}{\textstyle6}}$$
1412#6 6!+6!-√(6!+((6+6)/6)^6) $$6!+6!-\sqrt{6!+{\left(\frac{\textstyle6+6}{\textstyle6}\right)}^{6}}$$
1413#6 6!+6!-(6/√(6+6))^6 $$6!+6!-{\left(\frac{\textstyle6}{\textstyle\sqrt{6+6}}\right)}^{6}$$
1414#6 6!+6!-6!/6/6-6 $$6!+6!-\frac{\textstyle6!}{\textstyle6\times6}-6$$
1415#6 (6!+6^6/6-6)/6 $$\frac{\textstyle6!+\frac{\textstyle{6}^{6}}{\textstyle6}-6}{\textstyle6}$$
1416#6 (6!+6^6/6)/6 $$\frac{\textstyle6!+\frac{\textstyle{6}^{6}}{\textstyle6}}{\textstyle6}$$
1417#6 (6+6!+6^6/6)/6 $$\frac{\textstyle6+6!+\frac{\textstyle{6}^{6}}{\textstyle6}}{\textstyle6}$$
1418#6 (6+6)*(6!-66/6)/6 $$\frac{\textstyle\left(6+6\right)\times\left(6!-\frac{\textstyle66}{\textstyle6}\right)}{\textstyle6}$$
1419#6 6!+6!-(6+6!/6)/6 $$6!+6!-\frac{\textstyle6+\frac{\textstyle6!}{\textstyle6}}{\textstyle6}$$
1420#6 6!+6!-6!/6/6 $$6!+6!-\frac{\textstyle6!}{\textstyle6\times6}$$
1421#6 6!+6!-(6!/6-6)/6 $$6!+6!-\frac{\textstyle\frac{\textstyle6!}{\textstyle6}-6}{\textstyle6}$$
1422#6 6!+6!-6-6-6 $$6!+6!-6-6-6$$
1423#6 6!+6!-66/6-6 $$6!+6!-\frac{\textstyle66}{\textstyle6}-6$$
1424#6 6!+6!-(66-6)/6-6 $$6!+6!-\frac{\textstyle66-6}{\textstyle6}-6$$
1425#6 6+6!+6!-(6+6!/6)/6 $$6+6!+6!-\frac{\textstyle6+\frac{\textstyle6!}{\textstyle6}}{\textstyle6}$$
1426#6 6+6!+6!-6!/6/6 $$6+6!+6!-\frac{\textstyle6!}{\textstyle6\times6}$$
1427#6 6!+(6+6^6)/66 $$6!+\frac{\textstyle6+{6}^{6}}{\textstyle66}$$
1428#6 6!+6!-6-6 $$6!+6!-6-6$$
1429#6 6!+6!-66/6 $$6!+6!-\frac{\textstyle66}{\textstyle6}$$
1430#6 6!+6!-(66-6)/6 $$6!+6!-\frac{\textstyle66-6}{\textstyle6}$$
1431#6 6!+6!-(66-6-6)/6 $$6!+6!-\frac{\textstyle66-6-6}{\textstyle6}$$
1432#6 6!+6!-(6+6)/6-6 $$6!+6!-\frac{\textstyle6+6}{\textstyle6}-6$$
1433#6 6!+6!-6/6-6 $$6!+6!-\frac{\textstyle6}{\textstyle6}-6$$
1434#6 6!+6!-6 $$6!+6!-6$$
1435#6 6!+6!+6/6-6 $$6!+6!+\frac{\textstyle6}{\textstyle6}-6$$
1436#6 (6!+(6!+6^6)/6)/6 $$\frac{\textstyle6!+\frac{\textstyle6!+{6}^{6}}{\textstyle6}}{\textstyle6}$$
1437#6 6!+6!-(6+6+6)/6 $$6!+6!-\frac{\textstyle6+6+6}{\textstyle6}$$
1438#6 6!+6!-(6+6)/6 $$6!+6!-\frac{\textstyle6+6}{\textstyle6}$$
1439#6 6!+6!-6/6 $$6!+6!-\frac{\textstyle6}{\textstyle6}$$
1440#6 6!+6! $$6!+6!$$
1441#6 6!+6!+6/6 $$6!+6!+\frac{\textstyle6}{\textstyle6}$$
1442#6 6!+6!+(6+6)/6 $$6!+6!+\frac{\textstyle6+6}{\textstyle6}$$
1443#6 6!+6!+(6+6+6)/6 $$6!+6!+\frac{\textstyle6+6+6}{\textstyle6}$$
1444#6 6+6!+6!-(6+6)/6 $$6+6!+6!-\frac{\textstyle6+6}{\textstyle6}$$
1445#6 6+6!+6!-6/6 $$6+6!+6!-\frac{\textstyle6}{\textstyle6}$$
1446#6 6+6!+6! $$6+6!+6!$$
1447#6 6+6!+6!+6/6 $$6+6!+6!+\frac{\textstyle6}{\textstyle6}$$
1448#6 6+6!+6!+(6+6)/6 $$6+6!+6!+\frac{\textstyle6+6}{\textstyle6}$$
1449#6 6!+((6+6+6)/6)^6 $$6!+{\left(\frac{\textstyle6+6+6}{\textstyle6}\right)}^{6}$$
1450#6 6!+6!+(66-6)/6 $$6!+6!+\frac{\textstyle66-6}{\textstyle6}$$
1451#6 6!+6!+66/6 $$6!+6!+\frac{\textstyle66}{\textstyle6}$$
1452#6 6+6+6!+6! $$6+6+6!+6!$$
1453#6 (6+(6!+6)*(6+6))/6 $$\frac{\textstyle6+\left(6!+6\right)\times\left(6+6\right)}{\textstyle6}$$
1454#6 6!+6!+6!/6/6-6 $$6!+6!+\frac{\textstyle6!}{\textstyle6\times6}-6$$
1455#6 6+6!+((6+6+6)/6)^6 $$6+6!+{\left(\frac{\textstyle6+6+6}{\textstyle6}\right)}^{6}$$
1456#6 6+6!+6!+(66-6)/6 $$6+6!+6!+\frac{\textstyle66-6}{\textstyle6}$$
1457#6 6+6!+6!+66/6 $$6+6!+6!+\frac{\textstyle66}{\textstyle6}$$
1458#6 6+6+6+6!+6! $$6+6+6+6!+6!$$
1459#6 6!+6!+(6!/6-6)/6 $$6!+6!+\frac{\textstyle\frac{\textstyle6!}{\textstyle6}-6}{\textstyle6}$$
1460#6 6!+6!+6!/6/6 $$6!+6!+\frac{\textstyle6!}{\textstyle6\times6}$$
1461#6 6!+6!+(6+6!/6)/6 $$6!+6!+\frac{\textstyle6+\frac{\textstyle6!}{\textstyle6}}{\textstyle6}$$
